Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5 ec6 ec7 stereo
2 2 48 5 3 2 CG 19.90 1.57 1 2 2 3 0 0 0 0 0 0 2
2 2 49 1 3 1 CST 5.40 1.63 1 2 2 62 0 0 0 0 0 0 2
2 2 50 2 3 4 IFO 6.12 1.66 1 2 2 11 0 0 0 0 0 0 2
2 2 51 4 2 4 IFO 15.49 2.90 1 2 2 12 0 0 0 0 0 0 2
2 2 52 3 2 5 ILF 13.99 1.18 1 3 3 18 0 0 0 0 0 0 2
2 2 53 5 2 1 CST 6.84 1.56 1 2 2 9 0 0 0 0 0 0 2
2 2 54 1 2 2 CG 19.06 2.36 1 1 1 21 0 0 0 0 0 0 2
2 2 55 2 2 3 CC 16.97 0.98 1 2 2 13 0 0 0 0 0 0 2
2 2 56 4 2 2 CG 6.53 1.01 0 3 1 5 0 0 0 0 0 0 2
2 2 57 3 2 5 ILF 37.76 1.34 0 1 3 19 0 0 0 0 0 0 2
2 2 58 5 2 1 CST 7.88 2.24 1 2 2 9 0 0 0 0 0 0 2
2 2 59 1 2 4 IFO 12.22 0.99 0 1 3 12 0 0 0 0 0 0 2
2 2 60 2 2 3 CC 19.73 1.11 0 1 2 21 0 0 0 0 0 0 2
2 3 61 4 1 4 IFO 17.08 4.15 1 4 4 17 0 0 0 0 0 0 2
2 3 62 3 1 5 ILF 13.09 1.85 1 5 5 23 0 0 0 0 0 0 2
2 3 63 5 1 3 CC 9.21 5.62 1 3 3 19 0 0 0 0 0 0 2
2 3 64 1 1 2 CG 5.79 0.72 1 2 2 35 0 0 0 0 0 0 2
2 3 65 2 1 1 CST 4.81 1.03 1 1 1 145 0 0 0 0 0 0 2
2 3 66 4 1 5 ILF 5.95 1.59 0 1 5 18 0 0 0 0 0 0 2
2 3 67 3 1 2 CG 9.83 4.99 1 2 2 21 0 0 0 0 0 0 2
2 3 68 5 1 4 IFO 16.69 4.40 1 4 4 11 0 0 0 0 0 0 2
2 3 69 1 1 1 CST 7.03 0.74 1 1 1 137 0 0 0 0 0 0 2
2 3 70 2 1 3 CC 6.84 6.84 1 3 3 243 0 0 0 0 0 0 2
2 3 71 4 3 3 CC 5.86 2.20 1 3 3 29 0 0 0 0 0 0 2
2 3 72 3 3 5 ILF 6.32 2.52 1 5 5 23 0 0 0 0 0 0 2
2 3 73 5 3 1 CST 6.95 1.21 0 4 1 16 0 0 0 0 0 0 2
2 3 74 1 3 2 CG 7.27 4.96 1 2 2 35 0 0 0 0 0 0 2
2 3 75 2 3 4 IFO 8.61 0.80 1 4 4 27 0 0 0 0 0 0 2
2 3 76 4 3 1 CST 4.00 1.33 1 1 1 22 0 0 0 0 0 0 2
2 3 77 3 3 3 CC 4.33 1.55 1 3 3 186 0 0 0 0 0 0 2
2 3 78 5 3 4 IFO 2.94 0.74 1 4 4 11 0 0 0 0 0 0 2
2 3 79 1 3 2 CG 3.24 1.61 1 2 2 44 0 0 0 0 0 0 2
2 3 80 2 3 5 ILF 4.57 1.44 1 5 5 34 0 0 0 0 0 0 2
2 3 81 4 2 1 CST 3.74 1.98 1 1 1 57 0 0 0 0 0 0 2
2 3 82 3 2 5 ILF 6.64 1.04 0 1 5 23 0 0 0 0 0 0 2
2 3 83 5 2 4 IFO 10.54 1.54 1 4 4 10 0 0 0 0 0 0 2
2 3 84 1 2 3 CC 5.29 1.25 1 3 3 60 0 0 0 0 0 0 2
2 3 85 2 2 2 CG 3.04 0.93 1 2 2 33 0 0 0 0 0 0 2
2 3 86 4 2 3 CC 2.50 1.07 1 3 3 125 0 0 0 0 0 0 2
2 3 87 3 2 4 IFO 11.33 1.62 1 4 4 23 0 0 0 0 0 0 2
2 3 88 5 2 5 ILF 3.19 0.70 1 5 5 12 0 0 0 0 0 0 2
2 3 89 1 2 2 CG 4.25 1.09 1 2 2 44 0 0 0 0 0 0 2
2 3 90 2 2 1 CST 5.24 1.81 1 1 1 97 0 0 0 0 0 0 2
2 4 91 4 1 1 CST 78.75 1.03 1 1 1 21.026665 17.130038 47 0 0 0 0 2
2 4 92 3 1 3 CC 64.20 1.21 0 0 1 475.975316 25.548269 85 0 0 0 0 2
2 4 93 5 1 2 CG 91.57 1.01 0 0 1 319.365078 15.378212 14 0 0 0 0 2
2 4 94 1 1 4 IFO 26.96 1.06 1 1 1 41.380247 29.424623 73 0 0 0 0 2
2 4 95 2 1 5 ILF 15.96 0.63 0 0 1 116.938882 31.030435 132 0 0 0 0 2
2 4 96 4 1 1 CST 7.56 1.07 1 1 1 68.653175 25.123905 101 0 0 0 0 2
